"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Owner Analytics","4","0","","0"
"0","","0","Access Control","8","1","","0"
"0","","0","Owner Orders","9","0","","0"
"0","","0","Owner Coupons","24","0","","0"
"0","","0","Owner Payment Settings","9","0","","0"
"0","","0","","0","16","","0"
"0","","0","Demo Request Flow","3","0","","0"
"0","","0","Owner Menu Management","6","2","","0"
"0","","0","Owner Restaurant Management","5","0","","0"
"0","","0","Owner Customers","3","0","","0"
"0","","0","Customer Gift Cards","3","0","","0"
"0","","0","Public Sign In","3","0","","0"
"0","","0","Customer Ordering","15","1","","0"
"0","","0","Owner Deals","2","0","","0"
"0","","0","Admin / User Management","18","0","","0"
"0","","0","API Negative Cases","6","0","","0"
"0","","0","Admin Restaurants","1","0","","0"
"0","","0","Owner Uber Eats Settings","2","0","","0"
"0","","0","Owner Daily Report","2","0","","0"
"0","","0","Owner Settings","2","0","","0"
"0","","0","Owner Publish","0","2","","0"
"0","","0","Owner Subscription","2","0","","0"
"0","","0","Public Sign Up","2","0","","0"
"0","","0","POS Order Lifecycle","1","0","","0"
