"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","4","Embedded Ordering","21","3","","0"
"0","","11","Supply shop","12","1","","0"
"0","","1","Dual Pricing","14","0","","0"
"0","","0","Deals API Contract","27","0","","0"
"0","","0","Owner Coupons","27","0","","0"
"0","","5","Gift cards — importing existing cards","3","0","","0"
"0","","0","Admin Marketing Automations","7","1","","0"
"0","","0","POS Table Management","12","0","","0"
"0","","2","Public Sign In","1","0","","0"
"0","","0","Owner Reservations","6","0","","0"
"0","","11","Customer Ordering","23","3","","0"
"0","","0","Owner Payment Settings","9","0","","0"
"0","","0","Owner Subscription","2","0","","0"
"0","","0","Menu API Contract","25","0","","0"
"0","","3","Owner Orders","32","0","","0"
"0","","0","Admin Marketing Campaigns","4","0","","0"
"0","","6","Gift cards — physical stock","2","0","","0"
"0","","0","Owner Daily Report","2","0","","0"
"0","","1","Owner Tables & Floor","5","0","","0"
"0","","1","","0","32","","0"
"0","","0","POS Register / Cash Drawer","8","0","","0"
"0","","0","Owner Deals","16","0","","0"
"0","","0","Admin / User Management","21","0","","0"
"0","","4","Demo Request Flow","10","0","","0"
"0","","1","Owner Menu Management","13","2","","0"
"0","","0","API Negative Cases","6","0","","0"
"0","","0","POS Waitlist & Public Booking","8","0","","0"
"0","","0","POS Table Service Open Checks","12","0","","0"
"0","","0","POS Reservation Lifecycle","11","0","","0"
"0","","0","POS Reservation Configuration","10","0","","0"
"0","","1","Owner Orders API","12","0","","0"
"0","","1","Admin Restaurants","0","0","","0"
"0","","0","Chain Menu","12","0","","0"
"0","","2","Public Sign Up","3","0","","0"
"0","","1","Deals → Storefront","4","0","","0"
"0","","0","Access Control","8","1","","0"
"0","","0","Owner Marketing Automations","3","0","","0"
"0","","0","Owner Uber Eats Settings","2","0","","0"
"0","","1","Customer Gift Cards","2","0","","0"
"0","","3","Owner Analytics","1","0","","0"
"0","","0","Owner Restaurant Management","5","0","","0"
"0","","0","POS Free Delivery","3","0","","0"
"0","","0","Menu → Storefront","3","0","","0"
"0","","0","Owner Customers","3","0","","0"
"0","","2","Admin Chains","3","0","","0"
"0","","0","Owner Settings","2","0","","0"
"0","","0","Owner Publish","0","2","","0"
"0","","0","Chain Deals","2","0","","0"
"0","","1","Owner Menu Availability","1","0","","0"
"0","","0","POS Order Lifecycle","1","0","","0"
